                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.50816,                0.35091,                0.84132,                0.97285,                0.98231,                0.98645,                0.90852,                0.41881,                0.27603,                0.80965,             0.00052394,             0.00052394,             0.00052394
                     52,                0.51055,                0.34985,                0.84261,                0.97786,                0.97895,                0.98637,                0.91458,                0.39947,                0.26979,                0.80646,             0.00052188,             0.00052188,             0.00052188
                     53,                0.50119,                0.33931,                0.84151,                0.97915,                0.97496,                0.98709,                 0.9108,                0.41575,                0.27275,                0.81014,             0.00051981,             0.00051981,             0.00051981
                     54,                0.49595,                0.33846,                0.84248,                0.97478,                 0.9776,                0.98543,                0.91257,                0.41617,                0.27706,                0.81075,             0.00051775,             0.00051775,             0.00051775
                     55,                0.49854,                0.33766,                0.83954,                 0.9735,                0.98088,                0.98542,                0.91877,                0.39344,                0.27306,                0.80675,             0.00051569,             0.00051569,             0.00051569
                     56,                0.49179,                0.33132,                0.84118,                 0.9749,                0.98085,                0.98555,                0.92131,                 0.3834,                0.25945,                0.80411,             0.00051363,             0.00051363,             0.00051363
                     57,                0.50106,                0.34272,                0.84481,                0.97593,                0.97853,                0.98671,                0.92208,                0.39406,                0.26519,                0.80668,             0.00051156,             0.00051156,             0.00051156
                     58,                0.49495,                0.33482,                0.83912,                0.97589,                0.98793,                0.98629,                0.92142,                0.38355,                0.25897,                0.80294,              0.0005095,              0.0005095,              0.0005095
                     59,                0.49796,                0.32875,                0.83867,                0.97423,                0.98241,                0.98393,                 0.9166,                0.38647,                0.26181,                0.80501,             0.00050744,             0.00050744,             0.00050744
                     60,                0.48442,                0.33094,                 0.8417,                0.97767,                0.97574,                0.98501,                0.91938,                0.39439,                0.25955,                0.80746,             0.00050537,             0.00050537,             0.00050537
                     61,                0.49468,                0.33425,                0.84104,                0.97392,                0.98523,                0.98662,                0.91832,                0.38768,                0.26996,                0.80406,             0.00050331,             0.00050331,             0.00050331
                     62,                0.48636,                0.32671,                0.83569,                0.97685,                0.98477,                 0.9878,                0.92208,                0.37951,                0.25134,                0.80306,             0.00050125,             0.00050125,             0.00050125
                     63,                0.47854,                0.32119,                 0.8342,                0.97767,                0.98319,                0.98802,                0.92048,                0.39613,                0.26148,                0.80648,             0.00049919,             0.00049919,             0.00049919
                     64,                0.48035,                0.31764,                0.83765,                0.97512,                 0.9847,                0.98704,                0.92505,                0.37823,                0.25423,                0.80224,             0.00049712,             0.00049712,             0.00049712
                     65,                0.48027,                0.32199,                0.83689,                0.97859,                0.97768,                0.98553,                0.92487,                0.36225,                0.25409,                0.80077,             0.00049506,             0.00049506,             0.00049506
                     66,                 0.4731,                0.31806,                0.83703,                0.97938,                  0.982,                0.98572,                0.92169,                0.38034,                0.25784,                0.80377,               0.000493,               0.000493,               0.000493
                     67,                0.49717,                0.32781,                0.83981,                0.97432,                0.98342,                0.98844,                0.92382,                0.37835,                0.24928,                0.80279,             0.00049094,             0.00049094,             0.00049094
                     68,                0.47852,                0.31651,                0.83637,                0.97771,                0.97763,                0.98764,                0.91594,                0.39226,                0.25313,                0.80679,             0.00048888,             0.00048888,             0.00048888
                     69,                0.46402,                0.30986,                0.83244,                0.97278,                0.98076,                0.98665,                0.92546,                0.37411,                0.25033,                 0.8026,             0.00048681,             0.00048681,             0.00048681
                     70,                0.46971,                0.31501,                0.83679,                0.97124,                0.98724,                0.98676,                0.92118,                0.38707,                0.25338,                0.80589,             0.00048475,             0.00048475,             0.00048475
                     71,                0.47541,                0.31306,                0.83395,                0.97703,                0.98294,                0.98779,                0.92188,                0.38042,                0.25289,                 0.8043,             0.00048269,             0.00048269,             0.00048269
                     72,                0.47261,                0.31268,                0.83413,                0.97764,                0.98156,                0.98817,                0.92554,                 0.3721,                 0.2464,                  0.805,             0.00048062,             0.00048062,             0.00048062
                     73,                0.47858,                0.31364,                 0.8399,                0.97958,                0.98209,                0.98571,                0.92344,                0.37352,                0.25484,                0.80415,             0.00047856,             0.00047856,             0.00047856
                     74,                0.46494,                 0.3117,                0.83209,                0.97437,                0.98437,                0.98577,                0.93174,                0.35996,                  0.245,                0.80135,              0.0004765,              0.0004765,              0.0004765
                     75,                0.46371,                0.30685,                0.83366,                0.97116,                0.98525,                 0.9876,                0.92517,                0.37191,                0.24862,                0.80298,             0.00047444,             0.00047444,             0.00047444
                     76,                0.46707,                0.30875,                0.83634,                0.97983,                0.98268,                0.98854,                0.92744,                0.36602,                0.24701,                0.80072,             0.00047237,             0.00047237,             0.00047237
                     77,                0.46084,                0.30492,                0.83663,                0.97713,                0.98257,                0.98596,                0.92428,                0.36335,                 0.2452,                0.80107,             0.00047031,             0.00047031,             0.00047031
                     78,                0.46561,                0.30967,                0.83375,                0.97144,                0.98062,                0.98536,                0.92686,                0.36153,                0.24963,                0.80246,             0.00046825,             0.00046825,             0.00046825
                     79,                0.45172,                0.29304,                0.83343,                0.96991,                0.98676,                0.98828,                0.92759,                0.36499,                0.24141,                 0.8018,             0.00046619,             0.00046619,             0.00046619
                     80,                0.46204,                  0.306,                0.83425,                0.97427,                0.98163,                0.98668,                0.92443,                0.37385,                0.25039,                0.80442,             0.00046413,             0.00046413,             0.00046413
                     81,                0.46251,                0.30496,                0.83316,                0.97474,                0.97968,                0.98698,                0.93084,                0.35237,                0.24236,                0.80004,             0.00046206,             0.00046206,             0.00046206
                     82,                0.44704,                0.29493,                0.82993,                0.97255,                0.98385,                0.98794,                0.92455,                 0.3743,                0.24393,                0.80296,                0.00046,                0.00046,                0.00046
                     83,                0.45382,                0.29888,                0.83144,                0.97241,                0.98315,                0.98747,                0.92701,                0.36203,                0.24704,                0.80103,             0.00045794,             0.00045794,             0.00045794
                     84,                0.45146,                0.29999,                0.82991,                 0.9716,                0.98682,                0.98828,                0.93369,                0.35763,                0.24182,                0.80083,             0.00045588,             0.00045588,             0.00045588
                     85,                0.44927,                0.29595,                0.83241,                0.97291,                0.98241,                0.98733,                0.93089,                0.35567,                0.23553,                0.80029,             0.00045381,             0.00045381,             0.00045381
                     86,                0.45001,                0.29296,                0.83062,                0.96896,                0.98662,                0.98662,                0.93549,                0.34629,                0.23653,                0.79898,             0.00045175,             0.00045175,             0.00045175
                     87,                0.44395,                0.28735,                0.82924,                0.97598,                0.98276,                 0.9858,                0.93006,                0.35923,                0.23775,                0.79919,             0.00044969,             0.00044969,             0.00044969
